alimento,unidad,peso_crudo_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hidratos_carbono_g,fibra_g,azucar_g,colesterol_mg,acidos_saturados_g,acidos_monoinsaturados_g,acidos_poliinsaturados_g,acido_folico_mcg,vitamina_a_mcg,calcio_mg,hierro_mg,sodio_mg,potasio_mg,fosforo_mg,zinc_mg,selenio_mcg,carga_glicemica,categoria,pagina,ag_saturados_g,ag_monoinsaturados_g,ag_poliinsaturados_g,colesterol,acido_ascorbico_mg,AG saturados_g,AG monoinsaturados_g,AG poliinsaturados_g,cantidad_sugerida,peso_bruto_g,ac_g_saturados_g,ac_monoinsaturados_g,ac_poliinsaturados_g,AG poliinsaturados (g),AG monoinsaturados (g)
Cabeza de pescado,400 gramos,,400,31,6.8,0.6,0,0,0,104.8,0.2,0.1,0.2,,,,,,,,,,,origen animal MUY BAJO APORTE DE GRASA,page_097.png,,,,,,,,,,,,,,,
Cabiria,75 gramos,,75,38,7,0.6,0,0,0,104.8,0.2,0.1,0.2,,2.3,1.3,14.3,110.6,85.4,99.5,,,,origen animal MUY BAJO APORTE DE GRASA,page_097.png,,,,,,,,,,,,,,,
Cabrito,25 gramos,,25,36,7,0.6,0,0,0,104.8,0.2,0.1,0.2,,4.5,2.1,2.3,110.6,85.4,196,,,,origen animal MUY BAJO APORTE DE GRASA,page_097.png,,,,,,,,,,,,,,,
Calamar Americano,45 gramos,,45,41,6.2,0.6,1.4,0,0,104.8,0.2,0.1,0.2,,4.5,2.1,2.3,110.6,85.4,196,,,,origen animal MUY BAJO APORTE DE GRASA,page_097.png,,,,,,,,,,,,,,,
Calamar cocido,20 gramos,,20,37,7,0.6,1.2,0,0,104.8,0.1,0.1,0.1,,4.5,2.1,2.3,110.6,85.4,196,,,,origen animal MUY BAJO APORTE DE GRASA,page_097.png,,,,,,,,,,,,,,,
Calamar crudo,45 gramos,,45,41,7,0.6,1.4,0,0,104.8,0.2,0.1,0.2,,4.5,2.1,2.3,110.6,85.4,196,,,,origen animal MUY BAJO APORTE DE GRASA,page_097.png,,,,,,,,,,,,,,,
Calamar fresco entero,45 gramos,,45,41,7,1.4,,,,104.8,0.2,0.1,0.2,,4.5,2.3,2.3,110.6,85.4,196,,,,origen animal MUY BAJO APORTE DE GRASA,page_097.png,,,,,,,,,,,,,,,
Calamar fresco limpio,45 gramos,45,45,41,7,0.6,1.4,,,104.8,0.2,0.1,0.2,,,2.3,0.3,110.6,,196,,,,origen animal,page_098.png,,,,,,,,,,,,,,,
Camarón 16-20,2 pieza,50,40,42,8.1,0.7,0.4,,,60.7,0.3,0.1,0.1,,,1.2,0.3,73.9,,59.3,,,,origen animal,page_098.png,,,,,,,,,,,,,,,
Camarón cocido,5 pieza,34,34,34,7.7,0.1,0,,,66.3,0.1,0.1,0.1,,,1.4,0.3,61.9,,76.2,,,,origen animal,page_098.png,,,,,,,,,,,,,,,
Camarón crudo mediano,6 pieza,36,36,38,7.3,0.6,3.7,,,54.6,0.3,0.1,0.1,,,1.1,0.2,73.7,,53.4,,,,origen animal,page_098.png,,,,,,,,,,,,,,,
Camarón surimi,40 gramos,40,40,40,5,0,0,,,14.4,0,0,0,,,0.8,0,282,,112.8,,,,origen animal,page_098.png,,,,,,,,,,,,,,,
Camarón enlatado,1/4 taza,32,32,32,6.5,0,0.4,,,80.6,0,0,0,,,2.9,0.4,248.6,,46.4,,,,origen animal,page_098.png,,,,,,,,,,,,,,,
Camarón gigante,2 pieza,50,50,42,8.1,0.7,0.7,,,60.7,0.1,0,0,,,1.2,0,73.9,,59.3,,,,origen animal,page_098.png,,,,,,,,,,,,,,,
Camarón pacotilla,36 gramos,36,36,38,7.3,0.2,0.3,,,54.7,0,0,0,,,,,,0.9,,,,,origen animal,page_098.png,,,,,,,,,,,,,,,
Camarón seco,10 gramos,10,9,33,7.5,0.2,0.5,,,,,,,,,,,,,,,,,origen animal,page_098.png,,,,,,,,,,,,,,,
Camarón seco salado,10 gramos,10,9,33,7.5,,0.5,,,,,,,,,,,,,,,,,origen animal,page_098.png,,,,,,,,,,,,,,,
Camarón U15,2 pieza,50,40,42,8.1,0.4,0,,,60.7,0.1,0.1,0,,,1,0,73.9,,95.3,,,,origen animal,page_098.png,,,,,,,,,,,,,,,
Cangrejo,2 pieza,42,40,37,8.1,0.7,0,,,32.6,0.1,0.1,0.1,,,18.5,0.4,123,,82.4,,,,origen animal,page_098.png,,,,,,,,,,,,,,,
Cangrejo cocido,40 gramos,40,40,41,8.1,0.7,0,,,40,0.1,0.1,0.1,,,24.1,0.4,91.1,,115.8,,,,origen animal,page_098.png,,,,,,,,,,,,,,,
Cangrejo de Alaska cocido,40 gramos,40,40,41,8.1,0.7,0,,,40,0.1,0.1,0.1,,,18.4,0.3,87.5,,128.8,,,,origen animal,page_098.png,,,,,,,,,,,,,,,
Cangrejo enlatado,1/4 taza,34,34,33,6.9,0.4,0,,,30.2,0.2,0.1,0.1,,,14.5,0.9,126.3,,112.4,,,,origen animal,page_098.png,,,,,,,,,,,,,,,
Carne de alce cocida,25 gramos,25,25,34,7.3,1.3,0,,,19.5,0.1,0,0,,,1.5,1.1,83.5,,17.3,,,,origen animal,page_098.png,,,,,,,,,,,,,,,
Carne de armadillo,35 gramos,35,25,40,7.1,0.4,0,,,,,,,,,,,,,,,,,origen animal,page_098.png,,,,,,,,,,,,,,,
Carne de avestruz,35 gramos,35,35,31,7.1,0.4,0,,,21,0,0,0,,,,,,,,,,,origen animal,page_098.png,,,,,,,,,,,,,,,
Carne de faisán cruda sin piel,gramos,35,35,40,7.1,1.1,0,0,0,19.9,0.4,0.4,0.2,,15.1,1.8,3.9,0.3,78.9,111.1,0,69.2,,origen animal MUY BAJO APORTE DE GRASA,page_099.png,,,,,,,,,,,,,,,
Carne de jaiba,gramos,40,40,39,7,1,0.4,0,0,60,0.1,0.1,0.4,,0,,18,44,40,48.3,0,38.1,,origen animal MUY BAJO APORTE DE GRASA,page_099.png,,,,,,,,,,,,,,,
Carne de res seca,gramos,11,11,43,5.9,1.6,0.1,0,0,,,,,,0,10.2,1.1,40,89.1,203,0,54.3,,origen animal MUY BAJO APORTE DE GRASA,page_099.png,,,,,,,,,,,,,,,
Carne de venado cruda,gramos,30,30,42,6.7,0.4,0,0,0,21.6,0.1,0.1,0.1,,2.4,3,4,68.6,30,717,0,56.1,,origen animal MUY BAJO APORTE DE GRASA,page_099.png,,,,,,,,,,,,,,,
Carne molida de pavo,gramos,30,30,33,7,1.3,0,0,0,17.4,0.3,0.4,0.6,,0.9,1.4,3.6,66.6,30,25.5,0,48.6,,origen animal MUY BAJO APORTE DE GRASA,page_099.png,,,,,,,,,,,,,,,
Carne molida de pollo,gramos,30,30,38,6,1.5,0,0,0,24,0.4,0.6,0.6,,1,3.6,3.6,51.8,30,26,0,37.3,,origen animal MUY BAJO APORTE DE GRASA,page_099.png,,,,,,,,,,,,,,,
Carne obscura de pollo cruda,gramos,60,60,42,6.8,1.4,0,0,0,16.4,0.3,0.3,0,,1.1,11.1,11.3,85,60,275,0,62.2,,origen animal MUY BAJO APORTE DE GRASA,page_099.png,,,,,,,,,,,,,,,
Cazón,gramos,33,33,43,6.9,1.6,0,0,0,17.5,0.8,0.8,0,,0.6,8.8,3,0.1,3.3,0.3,0,2.6,,origen animal MUY BAJO APORTE DE GRASA,page_099.png,,,,,,,,,,,,,,,
Cazón fileteado,gramos,25,25,40,6.4,1.6,0,0,0,15.6,0.8,0.8,0,,0,3,0,0.1,0,0,0,0,,origen animal MUY BAJO APORTE DE GRASA,page_099.png,,,,,,,,,,,,,,,
Cecina enchilada,gramos,25,25,42,6.9,1.6,0,0,0,17.5,0.8,0.8,0,,0,3,0,0.1,0,0,0,0,,origen animal MUY BAJO APORTE DE GRASA,page_099.png,,,,,,,,,,,,,,,
Cecina,gramos,35,35,42,6.9,1.6,0,0,0,15.6,0.8,0.8,0,,0,3,0,0.1,0,0,0,0,,origen animal MUY BAJO APORTE DE GRASA,page_099.png,,,,,,,,,,,,,,,
Chambarete de res,gramos,11,11,70,8.2,3,0,0,0,,,,,,0,,,637.2,,,0,,,origen animal MUY BAJO APORTE DE GRASA,page_099.png,,,,,,,,,,,,,,,
Chambil secos,gramos,30,30,43,7.3,0.3,0,0,0,,,,,,0,,,480,,,0,,,origen animal MUY BAJO APORTE DE GRASA,page_099.png,,,,,,,,,,,,,,,
Charales frescos,gramos,15,15,32,7,0.6,0,0,0,,,,,,2.1,143,,,,,,,,origen animal MUY BAJO APORTE DE GRASA,page_099.png,,,,,,,,,,,,,,,
Charales secos,gramos,70,70,38,7,0.3,0,0,0,,,,,,2.3,143,,,,,,,,origen animal MUY BAJO APORTE DE GRASA,page_099.png,,,,,,,,,,,,,,,
Cherna,gramos,45,45,41,7,0.2,0,0,0,,,,,,4.5,,,110.6,,,,,,origen animal MUY BAJO APORTE DE GRASA,page_099.png,,,,,,,,,,,,,,,
Chiripón (Calamar) crudo,gramos,45,45,45,,,,,,104.8,0.1,0.2,0.2,,,,,,,,,,,origen animal MUY BAJO APORTE DE GRASA,page_099.png,,,,,,,,,,,,,,,
Chuleta ahumada,1/2 pieza,,40,34,6.1,1,0.1,0.4,0.5,0.1,0.4,0.5,0.1,,,0.4,0.3,110.1,456.8,105,,,,origen animal MUY BAJO APORTE DE GRASA,page_100.png,,,,,,,,,,,,,,,
Clara de huevo,2 pieza,,66,32,7.2,0.1,0.5,0,0,0,0,0,0,,,4.6,0.1,107.6,109.6,9.9,,,,origen animal MUY BAJO APORTE DE GRASA,page_100.png,,,,,,,,,,,,,,,
Clara de huevo en polvo 1 1/2 cda,10 g,,10,38,8.1,0,0.8,0,0,0,0,0,0,,,6.2,0,112.9,128.4,11.1,,,,origen animal MUY BAJO APORTE DE GRASA,page_100.png,,,,,,,,,,,,,,,
Codorniz,30 gramos,30,,40,6.5,1.4,0.1,,,21,0.4,0.4,0,,15.3,,1.4,51.6,87,44.6,,,,origen animal MUY BAJO APORTE DE GRASA,page_100.png,,,,,,,,,,,,,,,
Corazón de puerco cocido,25 gramos,25,,37,5.9,1.3,0.5,,,55.2,0.3,0.3,0.3,,8.7,,1.7,59.2,102.9,19.6,,,,origen animal MUY BAJO APORTE DE GRASA,page_100.png,,,,,,,,,,,,,,,
Corazón de puerco crudo,35 gramos,35,,41,6,1.5,0.5,,,45.9,0.4,0.4,0.4,,19.6,1.8,1.6,54.8,109.1,14.8,,,,origen animal MUY BAJO APORTE DE GRASA,page_100.png,,,,,,,,,,,,,,,
Corazón de res cocido,25 gramos,25,,38,7.1,1.2,0,,0,53,0.3,0.3,0,,,1.3,1.1,63.5,80.6,50,,,,origen animal MUY BAJO APORTE DE GRASA,page_100.png,,,,,,,,,,,,,,,
Corazón de res crudo,38 gramos,38,,37,6.7,1.5,0.1,,,47.1,0.5,0.4,,,,1.6,0.9,39.8,116,30.8,,,,origen animal MUY BAJO APORTE DE GRASA,page_100.png,,,,,,,,,,,,,,,
Corazón de ternera cocido,20 gramos,20,,44,5.8,1.4,0,,0,35.2,0.3,0.3,0,,,0.8,0.8,128.3,25.7,25.7,,,,origen animal MUY BAJO APORTE DE GRASA,page_100.png,,,,,,,,,,,,,,,
Corazón de ternera crudo,40 gramos,40,,41,6.9,1.6,0,,0,41.6,0.4,0.4,0,,,2,0.8,99,99,90,,,,origen animal MUY BAJO APORTE DE GRASA,page_100.png,,,,,,,,,,,,,,,
Cuete,45 gramos,45,,41,7.3,0.5,0,,0,0,0.5,0.5,0.5,,,4.3,3.8,128.3,25.7,25.7,,,,origen animal MUY BAJO APORTE DE GRASA,page_100.png,,,,,,,,,,,,,,,
Cuete de res,45 gramos,45,,41,7.3,0.5,0,,0,0,0.5,0.5,0.5,,,4.3,3.8,128.3,25.7,25.7,,,,origen animal MUY BAJO APORTE DE GRASA,page_100.png,,,,,,,,,,,,,,,
Empuje,33 gramos,33,,37,7.4,1.3,0,,0,0,0.3,0.3,0.3,,,3,3,90,90,0,,,,origen animal MUY BAJO APORTE DE GRASA,page_100.png,,,,,,,,,,,,,,,
Empuje de res,33 gramos,33,,37,7.2,1.3,0,,0,0,0.3,0.3,0.3,,,3,2.7,,,,,,,origen animal MUY BAJO APORTE DE GRASA,page_100.png,,,,,,,,,,,,,,,
Escalope de res,30 gramos,30,,34,7.9,0.3,0,,0,0,0.1,0,0,,,2.9,0.5,,,,,,,origen animal MUY BAJO APORTE DE GRASA,page_100.png,,,,,,,,,,,,,,,
Extraviado,80 gramos,80,,34,7.9,0.3,0.3,,,,0,0,0,,,2.9,0,,,,,,,origen animal MUY BAJO APORTE DE GRASA,page_100.png,,,,,,,,,,,,,,,
Extraviado fileteado,41 gramos,41,,34,7.9,0.3,0.3,,,,0.1,0,0,,,2.9,0,,,,,,,origen animal MUY BAJO APORTE DE GRASA,page_100.png,,,,,,,,,,,,,,,
Fajita de pollo sin piel cruda,30 gramos,30,30,36,6.2,1,0,0,0,23.1,0.3,0.3,0.3,,5.1,3,0.3,67.8,26.4,49.8,,,,origen animal,page_101.png,,,,,,,,,,,,,,,
Falda,35 gramos,35,33,35,7.4,0.6,0,0,0,15.6,0.5,0.5,0.3,,46.2,3.3,0,99.8,20,69.8,,,,origen animal,page_101.png,,,,,,,,,,,,,,,
Falda abierta,35 gramos,35,33,35,7.4,0.6,0,0,0,15.6,0.5,0.5,0.3,,46.2,3.3,0,99.8,20,69.8,,,,origen animal,page_101.png,,,,,,,,,,,,,,,
Falda res,30 gramos,30,30,33,7.3,0.5,0,0,0,11.7,0.1,0.1,0,,5.4,,0.7,,13.5,,,,,origen animal,page_101.png,,,,,,,,,,,,,,,
Filete de atún,40 gramos,40,40,36,7.5,0.6,0,0,0,19.2,0.1,0.2,0.1,,4,,2.1,144.4,32.4,73.6,,,,origen animal,page_101.png,,,,,,,,,,,,,,,
Filete de banderacrudo,45 gramos,45,45,41,7,0.5,0,0,0,10.4,0.2,0.4,0.1,,14.3,,0,,110.6,99.5,,,,origen animal,page_101.png,,,,,,,,,,,,,,,
Filete de calamar crudo,30 gramos,30,30,39,6.3,0.3,1.4,0,0,,0,0,0,,1.1,0.3,,48,,,,,,origen animal,page_101.png,,,,,,,,,,,,,,,
Filete de cazón crudo,40 gramos,40,40,34,7.7,0.3,0,0,0,,0.1,0,0.1,,2.8,,,,146,63.2,,,,origen animal,page_101.png,,,,,,,,,,,,,,,
Filete de extraviado,35 gramos,35,35,35,7.2,0.5,0,0,0,13,0.2,0.1,0,,10.5,1.8,0.6,146,22.2,69.2,,,,origen animal,page_101.png,,,,,,,,,,,,,,,
"Filete de guachinango, pargo",35 gramos,35,35,35,7.2,0.5,0,0,0,20.7,0.1,0.1,0,,4.5,5,0,153.9,35.1,136.4,,,,origen animal,page_101.png,,,,,,,,,,,,,,,
"Filete de huachinango, pargo",35 gramos,35,35,34,7.5,0.5,0.3,0,0,,0,0,0,,20,0,0,,66.8,104,,,,origen animal,page_101.png,,,,,,,,,,,,,,,
Filete de lenguado,45 gramos,45,45,34,7.7,0.5,0,0,0,,0.1,0,0,,,,,,73.6,144.4,,,,origen animal,page_101.png,,,,,,,,,,,,,,,
Filete de merluza,40 gramos,40,40,40,7.5,0.6,0,0,0,19.2,0.1,0.1,0,,4,,,144.4,32.4,73.6,,,,origen animal,page_101.png,,,,,,,,,,,,,,,
Filete de mero,40 gramos,40,40,36,7.2,0.6,0,0,0,6,0.2,0.4,0,,20,,,,,,,,,origen animal,page_101.png,,,,,,,,,,,,,,,
Filete de mojarra,40 gramos,40,40,40,7.7,1.1,0,0,0,,,,,,3.2,6,,,,,,,,origen animal,page_101.png,,,,,,,,,,,,,,,
Filete de pescado Blanco del Nilo,40 gramos,40,40,40,7.2,0.6,0,0,0,10,0.2,0.4,0,,4.8,,,0.1,,0.1,,,,origen animal,page_101.png,,,,,,,,,,,,,,,
Filete de res,30 gramos,,30,36,7.2,0.8,0,,0,14.1,0.4,0.3,0.3,,41.7,3,2.7,0.5,90,18,63,0,,origen animal MUY BAJO APORTE DE GRASA,page_102.png,,,,,,,,,,,,,,,
Filete de róbalo,40 gramos,,40,35,7.6,1.4,0,,0,22.6,1.1,0,0.1,,6.6,4.7,13.2,0.4,124.7,27.3,75.3,0,,origen animal MUY BAJO APORTE DE GRASA,page_102.png,,,,,,,,,,,,,,,
Filete de venado,40 gramos,,40,45,7.6,0.8,0,,0,40.3,0,0.4,0,,0,0,3.6,1.6,115.2,32.4,81.4,0,,origen animal MUY BAJO APORTE DE GRASA,page_102.png,,,,,,,,,,,,,,,
"Filete mignon""",1/4 pieza,,30,36,7.2,0.8,0,,0,14.1,0,0.3,0,,41.7,3,2.7,0.5,90,18,63,0,,origen animal MUY BAJO APORTE DE GRASA,page_102.png,,,,,,,,,,,,,,,
Filete tampiqueña,1/4 pieza,,30,36,7.2,0.8,0,,0,14.1,0,0.3,0,,41.7,3,2.7,0.5,90,18,63,0,,origen animal MUY BAJO APORTE DE GRASA,page_102.png,,,,,,,,,,,,,,,
Gallinita de Guinea con piel,30 gramos,,30,39,5.8,1.6,0,,0,18.4,0.6,0.3,0.3,,7,1.2,2.7,0.2,48.1,16.7,38.1,0,,origen animal MUY BAJO APORTE DE GRASA,page_102.png,,,,,,,,,,,,,,,
Gallinita de Guinea sin piel,55 gramos,,55,38,7.2,0.9,0,,0,21.8,0.2,0.2,0.4,,4.2,2.1,3.8,0.3,76.2,23.9,58.6,0,,origen animal MUY BAJO APORTE DE GRASA,page_102.png,,,,,,,,,,,,,,,
Guachinango,70 gramos,,70,36,7.3,0.5,0,,0,13.2,0.1,0.1,0.2,,10.7,1.8,11.3,0.1,148.9,22.7,70.6,0,,origen animal MUY BAJO APORTE DE GRASA,page_102.png,,,,,,,,,,,,,,,
Guachinango cocido,28 gramos,,28,36,7.4,0.5,0,,0,13.2,0.1,0.1,0.2,,10.5,1.7,11.1,0.1,146,22.2,69.2,0,,origen animal MUY BAJO APORTE DE GRASA,page_102.png,,,,,,,,,,,,,,,
Guachinango crudo fileteado,35 gramos,,35,35,7.2,0.5,0,,0,13,0,0,0,,10.7,1.8,11.3,0.1,146.3,16,56.3,0,,origen animal MUY BAJO APORTE DE GRASA,page_102.png,,,,,,,,,,,,,,,
Gurrubata cruda,80 gramos,,80,41,7.3,1.3,0,,0,24.9,0.5,0,0,,7.3,,14.6,0,95.5,35.5,76.9,0,,origen animal MUY BAJO APORTE DE GRASA,page_102.png,,,,,,,,,,,,,,,
Halibut cocido,27 gramos,,27,38,7.2,0.8,0,,0,11.1,0.3,0,0,,0,,10.5,0.6,155.6,18.7,69.2,0,,origen animal MUY BAJO APORTE DE GRASA,page_102.png,,,,,,,,,,,,,,,
Huechianango crudo fileteado,35 gramos,,35,35,7.2,0.5,0,,0,13,0.1,0.1,0.2,,10.7,1.8,11.3,0.1,146.3,16,56.3,0,,origen animal MUY BAJO APORTE DE GRASA,page_102.png,,,,,,,,,,,,,,,
Huechianango cocido,28 gramos,,28,36,7.3,0.5,0,,0,13.2,0.1,0.1,0.2,,11.2,1.7,11.2,0.1,146.3,16,56.3,0,,origen animal MUY BAJO APORTE DE GRASA,page_102.png,,,,,,,,,,,,,,,
Huachinango crudo,70 gramos,,70,36,7.4,0.5,0,,0,13.2,0.1,0.1,0.2,,11.3,1.8,11.3,0.1,148.9,22.7,70.6,0,,origen animal MUY BAJO APORTE DE GRASA,page_102.png,,,,,,,,,,,,,,,
Hueva de pescado,6 cdita,,30,43,6.7,1.9,0.5,,0,0,0,0,0,,24.3,4.1,6.6,0.2,,,,,,origen animal MUY BAJO APORTE DE GRASA,page_102.png,,,,,,,,,,,,,,,
Huevo de iguana,65 gramos,65,58,37,7.2,0.6,0,0,0,0,0,0,0,0,245,0,8.8,0,0,248.2,0,0,,origen animal,page_103.png,,,,,,,,,,,,,,,
Iguana,100 gramos,100,30,35,7.3,0.3,0,0,0,0,0,0,0,,67.5,,1,,75.6,,,,,origen animal,page_103.png,,,,,,,,,,,,,,,
Isabelita,70 gramos,70,36,30,7.4,0.1,0,0,0,,,,,,303.8,,4.4,,50.2,,,,,origen animal,page_103.png,,,,,,,,,,,,,,,
Jaiba cocida desmenuzada,1/3 taza,,47,39,8.1,0.6,0,0,0,36.4,0.1,0.2,0.4,,0,,20.1,123.7,65.3,1918,7.5,,,origen animal,page_103.png,,,,,,,,,,,,,,,
Jaiba cocida entera,75 gramos,75,40,34,7,0.5,0,0,0,31.5,0.1,0.4,0.4,,263.3,16.8,5,53.6,,217,1.3,,,origen animal,page_103.png,,,,,,,,,,,,,,,
Jaiba cruda,40 gramos,40,36,39,7.4,0.5,0,0,0,,,,,,,,,,,,,,,origen animal,page_103.png,,,,,,,,,,,,,,,
Jorobado lamparosa,70 gramos,70,35,35,7,0.3,0.4,0,0,49,0,0,0,154,,16.8,3.8,19.3,110.1,118.6,0.1,0.7,,origen animal,page_103.png,,,,,,,,,,,,,,,
Jugo de almeja,7 gramos,7,7,36,7.5,0.4,0.2,0,0,25.1,0.1,0.1,0.3,,,,,21.4,64.6,136.4,,,,origen animal,page_103.png,,,,,,,,,,,,,,,
Langosta,100 gramos,100,35,34,7.2,0.2,0,,,78.2,0.1,0.1,0,,,,,,,,,,,origen animal,page_103.png,,,,,,,,,,,,,,,
Langosta cocida,110 gramos,110,50,45,7.5,0.5,0,,,20.7,0.1,0.3,0.4,,,,,61.8,,,,,,origen animal,page_103.png,,,,,,,,,,,,,,,
Langostino,90 gramos,90,45,34,6.8,1.6,0,,,21.1,0.7,0.4,0.6,,,,,138.9,604.6,,,,,origen animal,page_103.png,,,,,,,,,,,,,,,
Lenguado,50 gramos,50,36,40,8,1.4,0,,,23.5,0.7,0.4,0.4,,,,,76,,,,,,origen animal,page_103.png,,,,,,,,,,,,,,,
Lenguado fileteado,40 gramos,40,13,45,7.3,1.2,0,,,21.4,0.4,,,,,,,32.8,252.3,283.8,,,,origen animal,page_103.png,,,,,,,,,,,,,,,
Liebre,1/3 reb,,15,50,6.7,1.3,,,,24.1,,,,,,,,,,,,,,origen animal,page_103.png,,,,,,,,,,,,,,,
Maciaz de res,25 gramos,25,25,35,5.2,1.6,0,,,,0.6,0.6,0.1,,1.5,2,0.6,89.5,15.8,44.8,,,,origen animal,page_104.png,,,,,,,,,,,,,,,
Maciaz de res en trozo,25 gramos,25,25,35,5.2,1.4,0,,,,0.6,0.6,0.4,,1.5,10.8,0.3,,105.5,,,,,origen animal,page_104.png,,,,,,,,,,,,,,,
Mantaraya cocida,25 gramos,25,25,41,6.6,0.8,0,,,,0.3,0.3,0,,19.8,2.7,0.5,90,18,63,,,,origen animal,page_104.png,,,,,,,,,,,,,,,
Medallón de filete,1/4 pieza,30,30,36,7.2,0.8,1.9,,,,0.2,0.3,0.3,3.4,41.7,19,8.2,67.1,92.4,71.2,,,,origen animal,page_104.png,,,,,,,,,,,,,,,
Medallón de filete de res,30 gramos,30,30,43,5.9,1.1,1.8,,,,0.5,1.1,0.3,4,22.6,12.9,2,158.4,141.6,97.5,,,,origen animal,page_104.png,,,,,,,,,,,,,,,
Mejillones sin concha,25 gramos,25,25,43,5.9,1.1,0.6,,,,0.4,0.3,0.3,5.7,20.8,120.8,3.5,79.8,27,69,,,,origen animal,page_104.png,,,,,,,,,,,,,,,
Mejillones sin concha crudos,1/3 taza,50,50,35,6.3,1.6,0.5,,,,0.4,0.3,0.3,0.5,0,0.5,0,0,0,0,,,,origen animal,page_104.png,,,,,,,,,,,,,,,
Menudencias de pollo crudas,35 gramos,35,35,42,6.3,1.3,0.1,,,,0.5,0.5,0.4,0.3,,,,0,14.8,51,,,,origen animal,page_104.png,,,,,,,,,,,,,,,
Menudencias de pavo,25 gramos,25,25,40,6.7,1.1,0.1,,,,0.3,0.3,0.2,0.3,,,,56,72.3,131.4,,,,origen animal,page_104.png,,,,,,,,,,,,,,,
Menudencias de pollo cocidas,25 gramos,25,25,33,6.8,1.1,0,,,,0.1,0,0,0,,,,,,,,,,origen animal,page_104.png,,,,,,,,,,,,,,,
Merluza,85 gramos,85,43,34,7.2,0.4,0,,,,0,0,0,0,,,,,,,,,,origen animal,page_104.png,,,,,,,,,,,,,,,
Merluza fileteada,45 gramos,45,45,35,7.5,0.5,0,,,,0,0,0,0,,,,,,,,,,origen animal,page_104.png,,,,,,,,,,,,,,,
Mero cocido,30 gramos,30,30,34,7.9,0.3,0,,,,0,0,0,0,,,,,,,,,,origen animal,page_104.png,,,,,,,,,,,,,,,
Mero crudo,80 gramos,40,40,31,7.7,0.3,0,,,,0,0,0,0,,,,,,,,,,origen animal,page_104.png,,,,,,,,,,,,,,,
Mero crudo fileteado,35 gramos,35,35,34,7.1,0.1,0,,,,0,0,0,0,,,,,,,,,,origen animal,page_104.png,,,,,,,,,,,,,,,
Milanesa de avestruz,35 gramos,35,35,30,7,0.5,0,,,,0,0,0,0,,,,,,,,,,origen animal,page_104.png,,,,,,,,,,,,,,,
Milanesa de pollo,30 gramos,30,30,34,7,0.3,0,,,,0,0,0,0,,,,,,,,,,origen animal,page_104.png,,,,,,,,,,,,,,,
Milanesa de res,30 gramos,,30,36,7.2,0.8,0,0,0,141,0.4,,,3,41.7,2.7,0.5,90,18,63,,,,origen animal,page_105.png,,0.3,0.2,,,,,,,,,,,,
Mojarra cruda fileteada,35 gramos,,35,34,7,0.6,0,0,0,175,0.3,,,8.4,0,3.5,0.2,105.7,18.2,59.5,,,,origen animal,page_105.png,,0.2,0.2,,,,,,,,,,,,
Mojarra tilapia cruda,1/3 pieza,,37,35,7.4,0.5,0,0,0,174,0.1,,,1.2,2.4,3.6,0.2,171.7,62.3,62.3,,,,origen animal,page_105.png,,0.1,0.1,,,,,,,,,,,,
Molida de pollo,30 gramos,,30,34,7.6,0.7,0,0,0,92.5,0.1,,,0.9,0,1.3,0.8,44.8,56.1,56.1,,,,origen animal,page_105.png,,0.1,0.1,,,,,,,,,,,,
Molleja de pollo cocida,25 gramos,,25,40,6.2,0.7,0,0,0,40.6,0,,,6.1,0,0,0.3,115.4,72.7,72.7,,,,origen animal,page_105.png,,0.1,0.1,,,,,,,,,,,,
Panita de res,45 gramos,,45,37,7.5,0.7,0.6,0,0,,,,,,,,,,,,,,,origen animal,page_105.png,,,,,,,,,,,,,,,
Pargo,70 gramos,,55,44,7.4,1.6,0.6,0,0,,,,,,,,,,,,,,,origen animal,page_105.png,,,,,,,,,,,,,,,
Pargo fileteado,35 gramos,,32,35,7.1,0.5,0.5,0,0,,,,,,,,,,,,,,,origen animal,page_105.png,,,,,,,,,,,,,,,
Pata de res,120 gramos,,34,32,6.7,0.3,0,0,0.1,,,,,,,,,,,,,,,origen animal,page_105.png,,,,,,,,,,,,,,,
Pechuga de pavo,1 1/2 reb,,34,33,6.3,0.2,1.5,0,0,,,,,,,,,,,,,,,origen animal,page_105.png,,,,,,,,,,,,,,,
Pechuga de pavo ahumada,1 1/2 reb,,42,48,8.7,1.2,0,0,0,,,,,,,,,,,,,,,origen animal,page_105.png,,,,,,,,,,,,,,,
Pechuga de pavo ahumada baja en grasa,2 reb,,30,33,6.9,0.1,0,0,0,,,,,,,,,,,,,,,origen animal,page_105.png,,,,,,,,,,,,,,,
Pechuga de pollo sin piel aplanada,30 gramos,,30,34,7,0.5,1.1,0,0,,,,,,,,,,,,,,,origen animal,page_105.png,,,,,,,,,,,,,,,
Pechuga de pollo ahumada,2 reb,,42,30,6.3,0.1,0,0,0,,,,,,,,,,,,,,,origen animal,page_105.png,,,,,,,,,,,,,,,
Pechuga de pollo deshuesada sin piel cruda,30 gramos,,30,36,6.8,0.8,0,0,0,,,,,,,,,,,,,,,origen animal,page_105.png,,,,,,,,,,,,,,,
